"outcome","predictor","x_value","yhat"
"choice_prop","PA_state","2.83333333333333",0.347239990263448
"choice_prop","PA_state","3",0.347239990263448
"choice_prop","PA_state","3.16666666666667",0.347247332634089
"choice_prop","PA_state","3.33333333333333",0.347247332634089
"choice_prop","PA_state","3.5",0.347247332634089
"choice_prop","PA_state","3.66666666666667",0.356865092055097
"choice_prop","PA_state","3.83333333333333",0.356865092055097
"choice_prop","PA_state","4",0.356865092055097
"median_rt","PA_state","0",0.75505386184472
"median_rt","PA_state","0.166666666666667",0.75505386184472
"median_rt","PA_state","0.333333333333333",0.75505386184472
"median_rt","PA_state","0.5",0.75505386184472
"median_rt","PA_state","0.666666666666667",0.778398814666136
"median_rt","PA_state","0.833333333333333",0.778398814666136
"median_rt","PA_state","1",0.778398814666136
"median_rt","PA_state","1.16666666666667",0.778663839551506
"median_rt","PA_state","1.33333333333333",0.778663839551506
"median_rt","PA_state","1.5",0.778663839551506
"median_rt","PA_state","1.66666666666667",0.783523006485201
"median_rt","PA_state","1.83333333333333",0.783523006485201
"median_rt","PA_state","2",0.783523006485201
"median_rt","PA_state","2.16666666666667",0.783524704845811
"median_rt","PA_state","2.33333333333333",0.783524704845811
"median_rt","PA_state","2.5",0.783524704845811
"median_rt","PA_state","2.66666666666667",0.790439591370168
"median_rt","PA_state","2.83333333333333",0.790439591370168
"median_rt","PA_state","3",0.790439591370168
"median_rt","PA_state","3.16666666666667",0.79035693229066
"median_rt","PA_state","3.33333333333333",0.79035693229066
"median_rt","PA_state","3.5",0.79035693229066
"median_rt","PA_state","3.66666666666667",0.776608756052766
"median_rt","PA_state","3.83333333333333",0.776608756052766
"median_rt","PA_state","4",0.776608756052766
"drift","PA_state","0",0.395163984323919
"drift","PA_state","0.166666666666667",0.395163984323919
"drift","PA_state","0.333333333333333",0.395163984323919
"drift","PA_state","0.5",0.395163984323919
"drift","PA_state","0.666666666666667",0.393841733355627
"drift","PA_state","0.833333333333333",0.393841733355627
"drift","PA_state","1",0.393841733355627
"drift","PA_state","1.16666666666667",0.393811988523762
"drift","PA_state","1.33333333333333",0.393811988523762
"drift","PA_state","1.5",0.393811988523762
"drift","PA_state","1.66666666666667",0.386181262967478
"drift","PA_state","1.83333333333333",0.386181262967478
"drift","PA_state","2",0.386181262967478
"drift","PA_state","2.16666666666667",0.386164499690888
"drift","PA_state","2.33333333333333",0.386164499690888
"drift","PA_state","2.5",0.386164499690888
"drift","PA_state","2.66666666666667",0.367618981082013
"drift","PA_state","2.83333333333333",0.367618981082013
"drift","PA_state","3",0.367618981082013
"drift","PA_state","3.16666666666667",0.367583121927072
"drift","PA_state","3.33333333333333",0.367583121927072
"drift","PA_state","3.5",0.367583121927072
"drift","PA_state","3.66666666666667",0.360193041800346
"drift","PA_state","3.83333333333333",0.360193041800346
"drift","PA_state","4",0.360193041800346
"alcbias","PA_state","0",-0.731883477253752
"alcbias","PA_state","0.166666666666667",-0.731883477253752
"alcbias","PA_state","0.333333333333333",-0.731883477253752
"alcbias","PA_state","0.5",-0.731883477253752
"alcbias","PA_state","0.666666666666667",-0.77506850185515
"alcbias","PA_state","0.833333333333333",-0.77506850185515
"alcbias","PA_state","1",-0.77506850185515
"alcbias","PA_state","1.16666666666667",-0.775823992407102
"alcbias","PA_state","1.33333333333333",-0.775823992407102
"alcbias","PA_state","1.5",-0.775823992407102
"alcbias","PA_state","1.66666666666667",-0.788606836831868
"alcbias","PA_state","1.83333333333333",-0.788606836831868
"alcbias","PA_state","2",-0.788606836831868
